transect,plot_name,X,Y,crop_type,distance_m,visitation_rate,fvc,area,peri_area,prox
2020-01,Debresina-01,389664.5773,1310204.543,Faba bean,200,0.425531915,0.3450028,12.55,0.0129412,9.2721
2020-01,Debresina-01,389435.337,1310078.289,Faba bean,500,0.372340426,0.321472645,12.55,0.0129412,0.9663
2020-01,Debresina-01,388833.0852,1309933.743,Faba bean,1000,0.212765957,0.355670452,12.55,0.088888898,0.1426
2020-01,Debresina-01,388471.5359,1309840.016,Faba bean,1500,0.170212766,0.395165473,12.55,0.088888898,0.0744
2020-02,Iyesus-02,390152.6659,1310104.181,Field pea,200,0.319148936,0.409848332,6.64,0.02153728,3.6445
2020-02,Iyesus-02,390321.6209,1309922.102,Field pea,500,0.223404255,0.532656848,6.64,0.0666667,0.6733
2020-02,Iyesus-02,390522.5727,1309544.077,Field pea,1000,0.117021277,0.393092811,6.64,0.03939832,0.1717
2020-02,Iyesus-02,390797.1347,1309027.871,Other land cover,1500,0,0.598969281,6.64,0.0140175,0.061
2020-03,Silassie-03,389681.1022,1310710.829,Faba bean,200,0.382978723,0.335671127,6.18,0.088000014,5.6044
2020-03,Silassie-03,389506.9599,1310992.261,Faba bean,500,0.29787234,0.455410898,6.18,0.091111109,0.6301
2020-03,Silassie-03,389329.1839,1311501.09,Faba bean,1000,0.244680851,0.3556844,6.18,0.033333302,0.1699
2020-03,Silassie-03,389156.1699,1311969.868,Other land cover,1500,0,0.420615554,6.18,0.048484799,0.1469
2020-04,Kota-04,312750,1318809,Mango,200,0.983532424,0.628552854,32.47,0.010003,4.8012
2020-04,Kota-04,312543,1319028,Mango,500,0.829787234,0.527011454,32.47,0.010003,1.1293
2020-04,Kota-04,312159,1319343,Mango,1000,0.542553191,0.55302006,32.47,0.0121457,0.3003
2020-04,Kota-04,311960.9377,1319496.125,Mango,1500,0.329787234,0.659082592,32.47,0.0121457,0.1975
2020-05,Jega-05,313877.2908,1318395.736,Mango,200,0.595744681,0.389716625,14.12,0.010003,11.1586
2020-05,Jega-05,314146.0007,1318376.959,Mango,500,0.829787234,0.586365819,14.12,0.0209246,1.9926
2020-05,Jega-05,314594.1461,1318233.089,Mango,1000,0.680851064,0.624681115,14.12,0.0209246,0.6469
2020-05,Jega-05,315154.2102,1318072.448,Other land cover,1500,0,0.029032562,14.12,0.0209246,0.3596
2020-06,Giyorgis-06,311316,1316079,Coffee,200,0.70212766,0.604398429,12.97,0.0122449,8.5987
2020-06,Giyorgis-06,311388,1316349,Coffee,500,0.521276595,0.482920736,12.97,0.0122449,1.5393
2020-06,Giyorgis-06,311560.3073,1316843.901,Coffee,1000,0.319148936,0.363614172,12.97,0.0122449,0.5365
2020-06,Giyorgis-06,311732.617,1317316.937,Coffee,1500,0.265957446,0.35355556,12.97,0.027615819,0.2828
2020-07,Weba-07,314322.3494,1317440.15,Mango,200,0.776595745,0.591439724,21.6,0.0104195,5.5126
2020-07,Weba-07,314217,1317717,Mango,500,0.787234043,0.628831387,21.6,0.0104195,1.3903
2020-07,Weba-07,314031.0351,1318191.676,Mango,1000,0.521276595,0.346440345,21.6,0.012100316,2.9392
2020-07,Weba-07,313744.7778,1318696.417,Mango,1500,0.723404256,0.474012882,21.6,0.010003,11.1586
2020-08,Weba-08,314142.7777,1316620.407,Mango,200,0.819148936,0.659083724,21.6,0.0104195,4.9762
2020-08,Weba-08,313968,1316469,Mango,500,0.691489362,0.530789793,21.6,0.0104195,1.195
2020-08,Weba-08,313561.7032,1316147.38,Mango,1000,0.563829787,0.478401065,21.6,0.0104195,0.514
2020-08,Weba-08,313101.112,1315934.012,Mango,1500,0.585106383,0.389597267,21.6,0.0132554,2.1948
2020-09,Arsema-09,309738.6494,1316773.72,Mango,200,0.85106383,0.432497799,10.88,0.0583333,5.6672
2020-09,Arsema-09,309350.3284,1316811.997,Mango,500,0.680851064,0.354344964,10.88,0.050000001,0.881
2020-09,Arsema-09,308999.2889,1317081.361,Mango,1000,0.574468085,0.061424099,10.88,0.050000001,1.1274
2020-09,Arsema-09,308487.6361,1317214.309,Other land cover,1500,0,0.01646837,10.88,NA,0.5965
2020-10,MedAlem-10,310275.1163,1318131.792,Mango,200,0.819148936,0.416278183,6.73,0.016969699,28.3684
2020-10,MedAlem-10,309986.7004,1318216.428,Mango,500,0.638297872,0.518059909,6.73,0.016969699,5.0478
2020-10,MedAlem-10,309495,1318461,Mango,1000,0.382978723,0.689466298,6.73,0.0137427,0.9967
2020-10,MedAlem-10,309032.2587,1318547.874,Mango,1500,0.382978723,0.593822837,6.73,0.0137427,0.7219
2020-11,TaraGedam-11,363035.8903,1343147.606,Faba bean,200,0.563829787,0.399431586,234.5,0.0101567,436.2252
2020-11,TaraGedam-11,362728.4065,1343222.156,Faba bean,500,0.5,0.361027598,234.5,0.0101567,134.6351
2020-11,TaraGedam-11,362317.4113,1343165.095,Faba bean,1000,0.170212766,0.426937938,234.5,0.0101567,21.5597
2020-11,TaraGedam-11,361877.1151,1343241.81,Faba bean,1500,0.138297872,0.344668686,234.5,0.0183206,14.618
2020-12,TaraGedam-12,363922.5495,1343700.874,Faba bean,200,0.574468085,0.448156506,234.5,0.0101567,436.2252
2020-12,TaraGedam-12,363983.0048,1343945.821,Faba bean,500,0.393617021,0.424262077,234.5,0.031084957,27.3491
2020-12,TaraGedam-12,364038.99,1344426.667,Faba bean,1000,0.244680851,0.474591523,234.5,0.042857099,7.317
2020-12,TaraGedam-12,363826.9767,1344786.829,Faba bean,1500,0.170212766,0.382426769,234.5,0.042857099,5.8772
2020-13,TaraKmihret-13,364300.5129,1342544.318,Faba bean,200,0.542553191,0.431745231,8.66,0.0101567,1022.8014
2020-13,TaraKmihret-13,364310.8043,1342306.203,Faba bean,500,0.319148936,0.402312994,8.66,0.0101567,42.5106
2020-13,TaraKmihret-13,364329.893,1341859.746,Faba bean,1000,0.276595745,0.405849457,8.66,0.0666667,6.0782
2020-13,TaraKmihret-13,364350.3932,1341426.133,Faba bean,1500,0.170212766,0.460920364,8.66,0.0666667,2.7412
2020-14,Zahara-14,343611.585,1304895.769,Field pea,200,0.340425532,0.333445638,11.48,0.034074102,7.9722
