transect,plot_name,X,Y,crop_type,distance_m,visitation_rate
2020-01,Debresina-01,389664.5773,1310204.543,Faba bean,200,0.425531915
2020-01,Debresina-01,389435.337,1310078.289,Faba bean,500,0.372340426
2020-01,Debresina-01,388833.0852,1309933.743,Faba bean,1000,0.212765957
2020-01,Debresina-01,388471.5359,1309840.016,Faba bean,1500,0.170212766
2020-02,Iyesus-02,390152.6659,1310104.181,Field pea,200,0.319148936
2020-02,Iyesus-02,390321.6209,1309922.102,Field pea,500,0.223404255
2020-02,Iyesus-02,390522.5727,1309544.077,Field pea,1000,0.117021277
2020-02,Iyesus-02,390797.1347,1309027.871,Other land cover,1500,0
2020-03,Silassie-03,389681.1022,1310710.829,Faba bean,200,0.382978723
2020-03,Silassie-03,389506.9599,1310992.261,Faba bean,500,0.29787234
2020-03,Silassie-03,389329.1839,1311501.09,Faba bean,1000,0.244680851
2020-03,Silassie-03,389156.1699,1311969.868,Other land cover,1500,0
2020-04,Kota-04,312750,1318809,Mango,200,0.983532424
2020-04,Kota-04,312543,1319028,Mango,500,0.829787234
2020-04,Kota-04,312159,1319343,Mango,1000,0.542553191
2020-04,Kota-04,311960.9377,1319496.125,Mango,1500,0.329787234
2020-05,Jega-05,313877.2908,1318395.736,Mango,200,0.595744681
2020-05,Jega-05,314146.0007,1318376.959,Mango,500,0.829787234
2020-05,Jega-05,314594.1461,1318233.089,Mango,1000,0.680851064
2020-05,Jega-05,315154.2102,1318072.448,Other land cover,1500,0
2020-06,Giyorgis-06,311316,1316079,Coffee,200,0.70212766
2020-06,Giyorgis-06,311388,1316349,Coffee,500,0.521276595
2020-06,Giyorgis-06,311560.3073,1316843.901,Coffee,1000,0.319148936
2020-06,Giyorgis-06,311732.617,1317316.937,Coffee,1500,0.265957446
2020-07,Weba-07,314322.3494,1317440.15,Mango,200,0.776595745
2020-07,Weba-07,314217,1317717,Mango,500,0.787234043
2020-07,Weba-07,314031.0351,1318191.676,Mango,1000,0.521276595
2020-07,Weba-07,313744.7778,1318696.417,Mango,1500,0.723404256
2020-08,Weba-08,314142.7777,1316620.407,Mango,200,0.819148936
2020-08,Weba-08,313968,1316469,Mango,500,0.691489362
2020-08,Weba-08,313561.7032,1316147.38,Mango,1000,0.563829787
2020-08,Weba-08,313101.112,1315934.012,Mango,1500,0.585106383
2020-09,Arsema-09,309738.6494,1316773.72,Mango,200,0.85106383
2020-09,Arsema-09,309350.3284,1316811.997,Mango,500,0.680851064
2020-09,Arsema-09,308999.2889,1317081.361,Mango,1000,0.574468085
2020-09,Arsema-09,308487.6361,1317214.309,Other land cover,1500,0
2020-10,MedAlem-10,310275.1163,1318131.792,Mango,200,0.819148936
2020-10,MedAlem-10,309986.7004,1318216.428,Mango,500,0.638297872
2020-10,MedAlem-10,309495,1318461,Mango,1000,0.382978723
2020-10,MedAlem-10,309032.2587,1318547.874,Mango,1500,0.382978723
2020-11,TaraGedam-11,363035.8903,1343147.606,Faba bean,200,0.563829787
2020-11,TaraGedam-11,362728.4065,1343222.156,Faba bean,500,0.5
2020-11,TaraGedam-11,362317.4113,1343165.095,Faba bean,1000,0.170212766
2020-11,TaraGedam-11,361877.1151,1343241.81,Faba bean,1500,0.138297872
2020-12,TaraGedam-12,363922.5495,1343700.874,Faba bean,200,0.574468085
2020-12,TaraGedam-12,363983.0048,1343945.821,Faba bean,500,0.393617021
2020-12,TaraGedam-12,364038.99,1344426.667,Faba bean,1000,0.244680851
2020-12,TaraGedam-12,363826.9767,1344786.829,Faba bean,1500,0.170212766
2020-13,TaraKmihret-13,364300.5129,1342544.318,Faba bean,200,0.542553191
2020-13,TaraKmihret-13,364310.8043,1342306.203,Faba bean,500,0.319148936
2020-13,TaraKmihret-13,364329.893,1341859.746,Faba bean,1000,0.276595745
2020-13,TaraKmihret-13,364350.3932,1341426.133,Faba bean,1500,0.170212766
2020-14,Zahara-14,343611.585,1304895.769,Field pea,200,0.340425532
2020-14,Zahara-14,343382.0001,1304936.448,Field pea,500,0.223404255
2020-14,Zahara-14,342895.8693,1305015.476,Field pea,1000,0.180851064
2020-14,Zahara-14,342412.4247,1305119.13,Field pea,1500,0.127659574
2020-15,Zahara-15,344124.9657,1305141.716,Mango,200,0.308510638
2020-15,Zahara-15,344190.5164,1305377.373,Mango,500,0.159574468
2020-15,Zahara-15,344233.0121,1305609.157,Mango,1000,0.223404255
2020-15,Zahara-15,344304.1111,1306077.285,Mango,1500,0.180851064
2020-16,ZegeTek-16,318941.0675,1294008.456,Coffee,200,0.776595745
2020-16,ZegeTek-16,319174.7052,1294093.247,Coffee,500,0.70212766
2020-16,ZegeTek-16,319649.4536,1294196.462,Coffee,1000,0.510638298
2020-16,ZegeTek-16,320187.5161,1294349.583,Coffee,1500,0.404255319
2020-17,ZegeUra-17,319100.1298,1293117.974,Coffee,200,0.627659574
2020-17,ZegeUra-17,318972.7908,1292904.805,Coffee,500,0.531914894
2020-17,ZegeUra-17,318691.7307,1292493.05,Coffee,1000,0.468085106
2020-17,ZegeUra-17,318415.908,1292022.53,Other land cover,1500,0
2020-18,ZegeMedh-18,317647.5607,1292731.656,Coffee,200,0.744680851
2020-18,ZegeMedh-18,317883.1619,1292748.162,Coffee,500,0.595744681
2020-18,ZegeMedh-18,318364.1387,1292774.312,Coffee,1000,0.617021277
2020-18,ZegeMedh-18,318891.9811,1292832.665,Other land cover,1500,0
