fid,transect_id,veg_type,transect_name,size_group,X,Y,distance_m,temp_oc,cooling_inten_oC,fvc,imper_surf,area,peri_area,prox
1,1,Forest,Church_RuralVillage,Large-sized,332184.9379,1291708.518,0,26.4,6.2,0.739,0,7.5,0.013429333,0
2,1,Forest,Church_RuralVillage,Large-sized,332189.7733,1291707.246,5,26.4,6.2,0.739,0,7.5,0.013429333,0
3,1,Forest,Church_RuralVillage,Large-sized,332194.6086,1291705.973,10,26.4,6.2,0.73,0,7.5,0.013429333,0
4,1,Forest,Church_RuralVillage,Large-sized,332199.444,1291704.701,15,26.4,6.2,0.722,0,7.5,0.013429333,0
5,1,Forest,Church_RuralVillage,Large-sized,332204.2793,1291703.428,20,26.5,6.1,0.7,0,7.5,0.013429333,0
6,1,Forest,Church_RuralVillage,Large-sized,332209.1147,1291702.156,25,26.5,6.1,0.686,0,7.5,0.013429333,0
7,1,Forest,Church_RuralVillage,Large-sized,332213.95,1291700.883,30,26.5,6.1,0.65,0,7.5,0.013429333,0
8,1,Forest,Church_RuralVillage,Large-sized,332218.7854,1291699.611,35,26.5,6.1,0.634,0,7.5,0.013429333,0
9,1,Forest,Church_RuralVillage,Large-sized,332223.6208,1291698.338,40,26.5,6.1,0.604,0,7.5,0.013429333,0
10,1,Forest,Church_RuralVillage,Large-sized,332228.4561,1291697.065,45,26.5,6.1,0.594,0,7.5,0.013429333,0
11,1,Forest,Church_RuralVillage,Large-sized,332233.2915,1291695.793,50,26.6,6,0.569,0,7.5,0.013429333,0
12,1,Forest,Church_RuralVillage,Large-sized,332238.1268,1291694.52,55,26.6,6,0.56,0,7.5,0.013429333,0
13,1,Forest,Church_RuralVillage,Large-sized,332242.9622,1291693.248,60,26.6,6,0.531,0,7.5,0.013429333,0
14,1,Forest,Church_RuralVillage,Large-sized,332247.7975,1291691.975,65,26.6,6,0.524,0,7.5,0.013429333,0
15,1,Forest,Church_RuralVillage,Large-sized,332252.6329,1291690.703,70,26.6,6,0.528,0,7.5,0.013429333,2.6329
