fid,pud,X,Y
0,1,270542.9846,1221169.26
1,1,291542.9846,1222169.26
2,1,271542.9846,1223169.26
3,1,283542.9846,1225169.26
4,11,268542.9846,1226169.26
5,1,310542.9846,1227169.26
6,1,298542.9846,1229169.26
7,1,267542.9846,1233169.26
8,5,268542.9846,1233169.26
9,3,267542.9846,1235169.26
10,1,295542.9846,1239169.26
11,1,287542.9846,1243169.26
12,1,262542.9846,1244169.26
13,2,263542.9846,1244169.26
14,2,265542.9846,1245169.26
15,1,297542.9846,1245169.26
16,1,264542.9846,1246169.26
17,1,277542.9846,1247169.26
18,1,271542.9846,1249169.26
19,1,266542.9846,1252169.26
20,1,273542.9846,1252169.26
21,2,257542.9846,1253169.26
22,2,265542.9846,1253169.26
23,1,266542.9846,1253169.26
24,1,302542.9846,1255169.26
25,25,310542.9846,1255169.26
26,15,285542.9846,1257169.26
27,2,295542.9846,1258169.26
28,1,291542.9846,1259169.26
29,1,310542.9846,1259169.26
30,1,286542.9846,1260169.26
31,2,290542.9846,1261169.26
32,2,292542.9846,1261169.26
33,1,305542.9846,1261169.26
34,1,295542.9846,1262169.26
35,1,304542.9846,1262169.26
36,1,308542.9846,1262169.26
37,1,305542.9846,1263169.26
38,14,303542.9846,1264169.26
39,1,300542.9846,1265169.26
40,2,311542.9846,1268169.26
41,1,314542.9846,1273169.26
42,15,272542.9846,1274169.26
43,2,315542.9846,1274169.26
44,1,315542.9846,1275169.26
45,2,316542.9846,1276169.26
46,1,317542.9846,1276169.26
47,1,309542.9846,1277169.26
48,6,316542.9846,1277169.26
49,1,308542.9846,1278169.26
50,1,318542.9846,1278169.26
51,5,319542.9846,1278169.26
52,1,310542.9846,1279169.26
53,1,315542.9846,1279169.26
54,1,316542.9846,1279169.26
55,7,318542.9846,1279169.26
56,1,319542.9846,1279169.26
57,136,321542.9846,1279169.26
58,7,322542.9846,1279169.26
59,6,323542.9846,1279169.26
60,6,324542.9846,1279169.26
61,1,309542.9846,1280169.26
62,1,312542.9846,1280169.26
63,2,313542.9846,1280169.26
64,1,318542.9846,1280169.26
65,1,319542.9846,1280169.26
66,32,321542.9846,1280169.26
67,1,322542.9846,1280169.26
68,35,323542.9846,1280169.26
69,6,324542.9846,1280169.26
70,2,325542.9846,1280169.26
71,45,326542.9846,1280169.26
72,2,327542.9846,1280169.26
73,13,301542.9846,1281169.26
74,1,313542.9846,1281169.26
75,5,316542.9846,1281169.26
76,1,317542.9846,1281169.26
77,2,318542.9846,1281169.26
78,2,319542.9846,1281169.26
79,3,321542.9846,1281169.26
80,7,322542.9846,1281169.26
81,80,323542.9846,1281169.26
82,97,324542.9846,1281169.26
83,6,325542.9846,1281169.26
84,14,326542.9846,1281169.26
85,4,327542.9846,1281169.26
86,2,319542.9846,1282169.26
87,21,320542.9846,1282169.26
88,16,321542.9846,1282169.26
89,49,322542.9846,1282169.26
90,654,323542.9846,1282169.26
91,572,324542.9846,1282169.26
92,14,325542.9846,1282169.26
93,14,326542.9846,1282169.26
94,1,297542.9846,1283169.26
95,1,316542.9846,1283169.26
96,7,317542.9846,1283169.26
97,17,318542.9846,1283169.26
98,9,319542.9846,1283169.26
99,25,321542.9846,1283169.26
