"fid","X","Y","pud","area","peri_area","prox","cult_sites","facility","road_prox","line_sight"
0,270542.9846,1221169.26,1,NA,NA,NA,0,0,25863.080078125,5.91119194030762
1,291542.9846,1222169.26,1,NA,NA,NA,0,0,NA,0
2,271542.9846,1223169.26,1,NA,NA,NA,0,0,25073.912109375,2.99840950965881
3,283542.9846,1225169.26,1,NA,NA,NA,2.87394159386167e-05,0,26280.078125,56.5205001831055
4,268542.9846,1226169.26,11,NA,NA,NA,0,0,26082.947265625,27.4681568145752
5,310542.9846,1227169.26,1,NA,NA,NA,0,0,NA,0
6,298542.9846,1229169.26,1,NA,NA,NA,0,0,NA,0
7,267542.9846,1233169.26,1,NA,NA,NA,0.00425988202914596,0,25700.990234375,2.68133687973022
8,268542.9846,1233169.26,5,NA,NA,NA,0.00425129663199186,0,24760.923828125,0.693199992179871
9,267542.9846,1235169.26,3,NA,NA,NA,0,0,25974.873046875,16.372257232666
10,295542.9846,1239169.26,1,NA,NA,NA,0,0,NA,0
11,287542.9846,1243169.26,1,NA,NA,NA,0,0,NA,0
12,262542.9846,1244169.26,1,NA,NA,NA,0,0,23892.181640625,69.4141387939453
13,263542.9846,1244169.26,2,NA,NA,NA,0,0,24876.880859375,21.4250774383545
14,265542.9846,1245169.26,2,NA,NA,NA,0.993733286857605,3.97493314743042,25935.111328125,50.9114151000977
15,297542.9846,1245169.26,1,NA,NA,NA,0,0,22517.142578125,0
16,264542.9846,1246169.26,1,1.44000005722046,0.0375000014901161,0,0.974067389965057,0.0266179628670216,25739.90234375,27.6431465148926
17,277542.9846,1247169.26,1,NA,NA,NA,0,0,NA,0
18,271542.9846,1249169.26,1,NA,NA,NA,0,0,26312.841796875,21.3369369506836
19,266542.9846,1252169.26,1,NA,NA,NA,0,0,21943.599609375,0.821819841861725
20,273542.9846,1252169.26,1,NA,NA,NA,0,0,26408.39453125,2.52184987068176
21,257542.9846,1253169.26,2,NA,NA,NA,0,0,NA,0
22,265542.9846,1253169.26,2,NA,NA,NA,0,0,20690.58984375,0
23,266542.9846,1253169.26,1,NA,NA,NA,0,0,20946.849609375,0
24,302542.9846,1255169.26,1,NA,NA,NA,0,0,21892.361328125,1.50953376293182
25,310542.9846,1255169.26,25,NA,NA,NA,0,0,NA,0
26,285542.9846,1257169.26,15,NA,NA,NA,0.99579131603241,0.011964219622314,26408.541015625,11.1016912460327
27,295542.9846,1258169.26,2,NA,NA,NA,0,0,22595.36328125,5
28,291542.9846,1259169.26,1,NA,NA,NA,0,0,25081.505859375,2.75918126106262
29,310542.9846,1259169.26,1,NA,NA,NA,0,0,NA,0
30,286542.9846,1260169.26,1,NA,NA,NA,0,0,24554.794921875,41.015193939209
31,290542.9846,1261169.26,2,NA,NA,NA,0,0,25570.6875,3.23867416381836
32,292542.9846,1261169.26,2,NA,NA,NA,0,0,26351.689453125,0.588179349899292
33,305542.9846,1261169.26,1,NA,NA,NA,0,0,22859.27734375,0
34,295542.9846,1262169.26,1,NA,NA,NA,0,0,26296.775390625,17.2686462402344
35,304542.9846,1262169.26,1,NA,NA,NA,0,0,24199.716796875,0
36,308542.9846,1262169.26,1,NA,NA,NA,0,0,22285.296875,12.7235279083252
37,305542.9846,1263169.26,1,NA,NA,NA,0,0,24577.3125,0
38,303542.9846,1264169.26,14,NA,NA,NA,0,0,26408.111328125,6.14828681945801
39,300542.9846,1265169.26,1,NA,NA,NA,0,0,24888.5078125,0
40,311542.9846,1268169.26,2,NA,NA,NA,0,0,25652.076171875,19.9976577758789
41,314542.9846,1273169.26,1,NA,NA,NA,0,0,26001.37890625,5.84833240509033
42,272542.9846,1274169.26,15,NA,NA,NA,0,0,22916.115234375,31.3173561096191
43,315542.9846,1274169.26,2,NA,NA,NA,0,0,26394.248046875,21.7370223999023
44,315542.9846,1275169.26,1,NA,NA,NA,0,0,26208.748046875,11.2031545639038
45,316542.9846,1276169.26,2,NA,NA,NA,0,0,25946.212890625,23.1688899993896
46,317542.9846,1276169.26,1,NA,NA,NA,0,0,25070.44921875,69.5663375854492
47,309542.9846,1277169.26,1,NA,NA,NA,0,0,NA,0
48,316542.9846,1277169.26,6,NA,NA,NA,0.00572854932397604,0,26393.767578125,45.889965057373
49,308542.9846,1278169.26,1,NA,NA,NA,0,0,NA,0
50,318542.9846,1278169.26,1,NA,NA,NA,0,0,25575.482421875,44.1296272277832
51,319542.9846,1278169.26,5,NA,NA,NA,0,0,24639.34375,10.6265773773193
52,310542.9846,1279169.26,1,NA,NA,NA,0,0,NA,3.94872450828552
53,315542.9846,1279169.26,1,NA,NA,NA,0.000171338237123564,0,25299.34765625,26.1862010955811
54,316542.9846,1279169.26,1,NA,NA,NA,0.0142311425879598,0.00397332804277539,25190.099609375,35.1161651611328
55,318542.9846,1279169.26,7,NA,NA,NA,0,0,25884.63671875,54.427116394043
56,319542.9846,1279169.26,1,NA,NA,NA,0,0.00198672106489539,25382.546875,28.6746234893799
57,321542.9846,1279169.26,136,NA,NA,NA,2.9879846572876,0.0120154032483697,24349.5,41.1622543334961
58,322542.9846,1279169.26,7,NA,NA,NA,2,0.99798458814621,25013.265625,112.846817016602
59,323542.9846,1279169.26,6,NA,NA,NA,2,0.00798459630459547,25984.890625,138.974548339844
60,324542.9846,1279169.26,6,NA,NA,NA,0,0,25911.484375,52.3812255859375
61,309542.9846,1280169.26,1,NA,NA,NA,0,0,22401.279296875,1.60643196105957
62,312542.9846,1280169.26,1,NA,NA,NA,0,0,24697.15625,24.9579925537109
63,313542.9846,1280169.26,2,NA,NA,NA,0,0,25687.9921875,24.0892906188965
64,318542.9846,1280169.26,1,NA,NA,NA,0,0.994259893894196,26098.484375,136.999603271484
65,319542.9846,1280169.26,1,NA,NA,NA,0,0.992267608642578,26161.421875,182.966674804688
66,321542.9846,1280169.26,32,NA,NA,NA,1.05338788032532,0.0711766183376312,25369.703125,29.311897277832
67,322542.9846,1280169.26,1,NA,NA,NA,4.96344614028931,3.09178400039673,25369.634765625,124.724533081055
68,323542.9846,1280169.26,35,NA,NA,NA,1.10573494434357,3.0633704662323,26077.6875,131.528625488281
69,324542.9846,1280169.26,6,NA,NA,NA,1.02328872680664,5.09127330780029,25744.3359375,84.5559310913086
70,325542.9846,1280169.26,2,NA,NA,NA,1.99025225639343,5.98648118972778,25183.228515625,171.477264404297
71,326542.9846,1280169.26,45,NA,NA,NA,0.0216176453977823,4.98511600494385,25183.25390625,27.1018924713135
72,327542.9846,1280169.26,2,NA,NA,NA,0,1.97029805183411,25183.05078125,81.6626815795898
73,301542.9846,1281169.26,13,NA,NA,NA,0,0,NA,0
74,313542.9846,1281169.26,1,NA,NA,NA,0,0,25598.666015625,14.4664011001587
75,316542.9846,1281169.26,5,NA,NA,NA,8.58538169268286e-06,0.00425988202914596,24603.9453125,3.18313193321228
76,317542.9846,1281169.26,1,NA,NA,NA,0.00422586873173714,0.00425988202914596,24740.115234375,0
77,318542.9846,1281169.26,2,NA,NA,NA,0,0.00425988202914596,25339.14453125,11.3116340637207
78,319542.9846,1281169.26,2,NA,NA,NA,0,0.00625811470672488,26098.791015625,41.3610076904297
79,321542.9846,1281169.26,3,NA,NA,NA,1.97201645374298,6.13012933731079,26359.73828125,231.236419677734
80,322542.9846,1281169.26,7,NA,NA,NA,0.0493605211377144,18.9218082427979,26359.748046875,129.238571166992
81,323542.9846,1281169.26,80,NA,NA,NA,13.8334493637085,13.9928941726685,26178.93359375,58.1617240905762
82,324542.9846,1281169.26,97,NA,NA,NA,2.96760296821594,18.760950088501,26081.443359375,13.7812023162842
83,325542.9846,1281169.26,6,NA,NA,NA,1.00424265861511,4.00249052047729,26173.3203125,57.0658187866211
84,326542.9846,1281169.26,14,NA,NA,NA,0.995808124542236,1.04092526435852,26173.3203125,15.3960304260254
85,327542.9846,1281169.26,4,NA,NA,NA,0,0.992193281650543,26173.302734375,199.683578491211
86,319542.9846,1282169.26,2,NA,NA,NA,0,2.87394159386167e-05,25913.755859375,20.159595489502
